Strike 		 Call Price
-----------------------
80.00 		 23.60
85.00 		 19.69
90.00 		 15.84
95.00 		 12.40
100.00 		 9.21
105.00 		 6.59
110.00 		 4.54
115.00 		 3.02
120.00 		 1.87
125.00 		 1.07

Strike 		 Put Price
-----------------------
80.00 		 4.57
85.00 		 5.66
90.00 		 6.81
95.00 		 8.37
100.00 		 10.18
105.00 		 12.56
110.00 		 15.51
115.00 		 18.99
120.00 		 22.84
125.00 		 27.04

Strike 		 BS Call Price
-----------------------
80.00 		 22.50
85.00 		 17.93
90.00 		 13.69
95.00 		 9.96
100.00 		 6.88
105.00 		 4.51
110.00 		 2.80
115.00 		 1.65
120.00 		 0.93
125.00 		 0.50

Strike 		 Call Price   Implied Vol 
-----------------------
80.00 		 22.50 		 0.134314
85.00 		 17.93 		 0.134314
90.00 		 13.69 		 0.134314
95.00 		 9.96 		 0.134314
100.00 		 6.88 		 0.134314
105.00 		 4.51 		 0.134314
110.00 		 2.80 		 0.134314
115.00 		 1.65 		 0.134314
120.00 		 0.93 		 0.134314
125.00 		 0.50 		 0.134314

Strike 		 Call Price   Implied Vol 
-----------------------
80.00 		 23.60 		 0.222104
85.00 		 19.69 		 0.223618
90.00 		 15.84 		 0.213833
95.00 		 12.40 		 0.206189
100.00 		 9.21 		 0.194696
105.00 		 6.59 		 0.186393
110.00 		 4.54 		 0.180439
115.00 		 3.02 		 0.176331
120.00 		 1.87 		 0.170690
125.00 		 1.07 		 0.164376

Strike 		 Call Price   Implied Vol 
-----------------------
80.00 		 22.26 		 4338256347844888.000000
85.00 		 17.66 		 0.108053
90.00 		 12.78 		 0.078131
95.00 		 7.97 		 0.055177
100.00 		 2.90 		 4541258792653908.000000
105.00 		 -0.00 		 2274948473217060.000000
110.00 		 -0.00 		 8098508668605884.000000
115.00 		 -0.00 		 11601081730644888.000000
120.00 		 -0.00 		 16453350923632000.000000
125.00 		 -0.00 		 17044493986009708.000000

